4a Site1,4a Site2,4b Site1,4b Site2,4b Site3,4e Site1,4e Site2,4a Site3,4g Site1,4g Site2,4g Site3,5g Site2,5g Site3
-52.612743,25.150448,2.761406,10.453382,-128.408247,41.536527,102.699495,26.594486,-0.614947,26.936973,7.20824,-35.216889,42.158644
-60.849639,37.362392,-31.020049,-68.418769,-26.97115,-2.844817,2.68397,-29.629547,5.149972,-5.539542,-8.432159,40.069545,-20.663701
-1.976291,40.181636,-24.902127,10.307114,-118.29066,-40.167535,-70.704087,-25.203984,26.604524,40.540853,-58.377423,-23.299871,-73.046048
-39.762908,-3.530986,2.42346,-24.96355,-78.113804,71.451679,43.653111,58.107592,19.841063,4.772591,-8.101622,32.900501,25.851435
-8.575559,29.431416,-50.135508,14.035514,-73.27501,-24.628472,-7.991204,28.343727,15.512056,19.432134,-86.301227,-43.48366,-34.063714
56.348791,32.801794,-80.124272,-13.542935,-45.526632,3.61607,-16.683156,44.354815,27.878155,72.249461,-5.77424,-11.987284,-87.341833
-71.656024,46.347119,-65.090216,-13.512582,-44.15047,-46.561024,44.685591,-2.674649,51.324055,52.47723,-47.287345,28.665899,-9.57912
-22.205251,17.209434,4.395688,47.820554,-34.246788,32.265,22.871583,-28.199849,-12.210271,29.692882,12.592193,-20.928752,-24.402378
-71.418697,4.702325,-40.877126,-88.509587,-52.165096,11.494705,29.14844,65.963522,-20.72608,26.590184,9.5839,-38.405149,23.35986
-18.930234,-29.31335,45.414302,-52.347453,-44.814651,6.247221,-31.935897,-27.345902,12.426566,39.397955,-18.989506,34.032644,-45.909988
-35.580169,15.081378,-60.379048,-14.125378,-65.757504,-7.35642,25.426493,50.506675,48.103291,53.347907,-10.981094,-47.502445,-43.014981
-11.525775,-60.053291,-40.120213,57.891775,-131.560418,70.683533,-2.917473,-51.270519,-98.433823,63.709274,-11.627111,-67.65612,-66.187704
-38.262227,21.387632,19.240695,-44.897584,-101.202877,38.974686,1.254033,-43.838814,-21.668696,77.449862,-70.508585,-13.171051,-1.250687
-56.858339,-28.293776,-12.471259,-51.219134,-109.808072,44.204484,45.359093,-5.187495,-6.255108,21.781026,11.090078,-105.324671,-2.409359
-95.157133,0.32504,1.999713,14.048898,5.005138,-82.56255,12.88449,3.298917,-21.984654,70.568335,-13.734613,-36.607391,-18.041632
-27.029227,-19.021771,79.539917,3.536961,8.522262,32.94854,8.190291,22.408401,-88.984958,123.569453,21.298007,32.997774,-25.99603
-87.847796,6.223082,-18.448171,-45.338539,1.138835,-53.678444,86.274937,18.053582,-74.726457,-34.394729,-104.690604,-78.020355,-55.451107
-40.971531,77.323431,-34.669818,-10.637412,-23.538154,39.484712,63.445896,7.288305,-65.181275,-41.015985,-89.387912,27.625771,-95.71711
-7.673334,21.965534,-44.824211,-4.27571,-32.014289,-32.424413,-69.742829,-33.586909,-3.26474,-98.042341,-24.492481,-14.938217,63.157662
